tradingsymbol Zerodha,name,exchange,tradingsymbol Yahoo
BAFNAPH,BAFNA PHARMACEUTICALS,NSE,BAFNAPH.NS
BAGFILMS,B.A.G FILMS AND MEDIA,NSE,BAGFILMS.NS
BAJAJ-AUTO,BAJAJ AUTO,NSE,BAJAJ-AUTO.NS
BAJAJCON,BAJAJ CONSUMER CARE,NSE,BAJAJCON.NS
BAJAJELEC,BAJAJ ELECT.LTD,NSE,BAJAJELEC.NS
BAJAJFINSV,BAJAJ FINSERV.,NSE,BAJAJFINSV.NS
BAJAJHIND-BE,BAJAJ HINDUSTHAN SUGAR LT,NSE,BAJAJHIND-BE.NS
BAJAJHLDNG,BAJAJ HOLDINGS & INVS,NSE,BAJAJHLDNG.NS
BAJFINANCE,BAJAJ FINANCE,NSE,BAJFINANCE.NS
BALAJITELE,BALAJI TELEFILMS,NSE,BALAJITELE.NS
BALAMINES,BALAJI AMINES,NSE,BALAMINES.NS
BALAXI,BALAXI PHARMA,NSE,BALAXI.NS
BALKRISHNA-BE,BALKRISHNA PAPER MILLS L,NSE,BALKRISHNA-BE.NS
BALKRISIND,BALKRISHNA IND.,NSE,BALKRISIND.NS
BALMLAWRIE,BALMER LAWRIE & CO,NSE,BALMLAWRIE.NS
BALPHARMA,BAL PHARMA.,NSE,BALPHARMA.NS
BALRAMCHIN,BALRAMPUR CHINI MILLS,NSE,BALRAMCHIN.NS
BANARBEADS,BANARAS BEADS,NSE,BANARBEADS.NS
BANARISUG,BANNARI AMMAN SUGARS,NSE,BANARISUG.NS
BANCOINDIA,BANCO PRODUCTS (I),NSE,BANCOINDIA.NS
BANDHANBNK,BANDHAN BANK,NSE,BANDHANBNK.NS
BANG-BE,BANG OVERSEAS.,NSE,BANG-BE.NS
BANKA,BANKA BIOLOO,NSE,BANKA.NS
BANKBARODA,BANK OF BARODA,NSE,BANKBARODA.NS
BANKBEES,NIP IND ETF BANK BEES,NSE,BANKBEES.NS
BANKINDIA,BANK OF INDIA,NSE,BANKINDIA.NS
BANSWRAS,BANSWARA SYNTEX,NSE,BANSWRAS.NS
BARBEQUE,BARBEQUE NATION HOSP.,NSE,BARBEQUE.NS
BASF,BASF INDIA,NSE,BASF.NS
BASML,BANNARI AM SPIN MILL.,NSE,BASML.NS
BATAINDIA,BATA INDIA,NSE,BATAINDIA.NS
BAYERCROP,BAYER CROPSCIENCE,NSE,BAYERCROP.NS
BBL,BHARAT BIJLEE,NSE,BBL.NS
BBTC,BOMBAY BURMAH TRADING COR,NSE,BBTC.NS
BCG-BE,BRIGHTCOM GROUP,NSE,BCG-BE.NS
BCLIND,BCL INDUSTRIES,NSE,BCLIND.NS
BCP,B.C. POWER CONTROLS,NSE,BCP.NS
