tradingsymbol Zerodha,name,exchange,tradingsymbol Yahoo
JAYBARMARU,JAY BHARAT MARUTI,NSE,JAYBARMARU.NS
JAYNECOIND-BE,JAYASWAL NECO INDUSTR,NSE,JAYNECOIND-BE.NS
JAYSREETEA,JAYSHREE TEA & INDUSTRIES,NSE,JAYSREETEA.NS
JBCHEPHARM,J B CHEMICALS AND PHARMA,NSE,JBCHEPHARM.NS
JBFIND-BE,JBF INDUS -DEP-LS ML,NSE,JBFIND-BE.NS
JBMA,JBM AUTO,NSE,JBMA.NS
JCHAC,JOHNSON CONTROLS HITACHI,NSE,JCHAC.NS
JHS,JHS SVEND. LAB.,NSE,JHS.NS
JIKIND-BE,JIK INDUSTRIES,NSE,JIKIND-BE.NS
JINDALPHOT,JINDAL PHOTO,NSE,JINDALPHOT.NS
JINDALPOLY,JINDAL POLY FILMS,NSE,JINDALPOLY.NS
JINDALSAW,JINDAL SAW,NSE,JINDALSAW.NS
JINDALSTEL,JINDAL STEEL & POWER,NSE,JINDALSTEL.NS
JINDCOT-BE,JINDAL COTEX,NSE,JINDCOT-BE.NS
JINDRILL,JINDAL DRILLING IND.,NSE,JINDRILL.NS
JINDWORLD,JINDAL WORLDWIDE,NSE,JINDWORLD.NS
JISLDVREQS,JAIN DVR EQUITY SHARES,NSE,JISLDVREQS.NS
JISLJALEQS,JAIN IRRIGATION SYSTEMS,NSE,JISLJALEQS.NS
JITFINFRA-BE,JITF INFRALOGISTICS,NSE,JITFINFRA-BE.NS
JKCEMENT,JK CEMENT,NSE,JKCEMENT.NS
JKIL,JKUMAR INFR.LTD.,NSE,JKIL.NS
JKLAKSHMI,JK LAKSHMI CEMENT,NSE,JKLAKSHMI.NS
JKPAPER,JK PAPER,NSE,JKPAPER.NS
JKTYRE,JK TYRE & INDUSTRIES,NSE,JKTYRE.NS
JMA,JULLUNDUR MOT AGENCY,NSE,JMA.NS
JMCPROJECT,JMC PROJECTS (I).,NSE,JMCPROJECT.NS
JMFINANCIL,JM FINANCIAL,NSE,JMFINANCIL.NS
JMTAUTOLTD,JMT AUTO,NSE,JMTAUTOLTD.NS
JOCIL,JOCIL,NSE,JOCIL.NS
JPASSOCIAT-BE,JAIPRAKASH ASSOCIATES,NSE,JPASSOCIAT-BE.NS
JPINFRATEC,JAYPEE INFRATECH,NSE,JPINFRATEC.NS
JPOLYINVST-BE,JIND POL INV & FIN CO,NSE,JPOLYINVST-BE.NS
JPPOWER,JAIPRAKASH POWER VEN.,NSE,JPPOWER.NS
JSL,JINDAL STAINLESS,NSE,JSL.NS
JSLHISAR,JINDAL STAINLESS (H),NSE,JSLHISAR.NS
JSWENERGY-BE,JSW ENERGY,NSE,JSWENERGY-BE.NS
JSWHL,JSW HOLDINGS,NSE,JSWHL.NS
JSWISPL-BE,JSW ISPAT SPE PRO,NSE,JSWISPL-BE.NS
JSWSTEEL,JSW STEEL,NSE,JSWSTEEL.NS
JTEKTINDIA,JTEKT INDIA,NSE,JTEKTINDIA.NS
JUBLFOOD,JUBILANT FOODWORKS,NSE,JUBLFOOD.NS
JUBLINDS,JUBILANT INDUSTRIES,NSE,JUBLINDS.NS
JUBLINGREA,JUBILANT INGREVIA,NSE,JUBLINGREA.NS
JUBLPHARMA,JUBILANT PHARMOVA,NSE,JUBLPHARMA.NS
JUMPNET,JUMP NETWORKS,NSE,JUMPNET.NS
JUNIORBEES,NIP IND ETF JUNIOR BEES,NSE,JUNIORBEES.NS
JUSTDIAL,JUSTDIAL.,NSE,JUSTDIAL.NS
JYOTHYLAB,JYOTHY LABS,NSE,JYOTHYLAB.NS
KABRAEXTRU,KABRA EXTRUSION TECHNIK L,NSE,KABRAEXTRU.NS
KAJARIACER,KAJARIA CERAMICS,NSE,KAJARIACER.NS
KAKATCEM,KAKATIYA CEM SUGAR &IND L,NSE,KAKATCEM.NS
KALPATPOWR,KALPATARU POWER TRANS. LT,NSE,KALPATPOWR.NS
KALYANIFRG-BE,KALYANI FORGE,NSE,KALYANIFRG-BE.NS
KALYANKJIL,KALYAN JEWELLERS IND,NSE,KALYANKJIL.NS
KAMATHOTEL,KAMAT HOTELS (I),NSE,KAMATHOTEL.NS
KAMDHENU,KAMDHENU,NSE,KAMDHENU.NS
KANANIIND-BE,KANANI INDUSTRIES,NSE,KANANIIND-BE.NS
KANORICHEM,KANORIA CHEMICALS & INDUS,NSE,KANORICHEM.NS
KANPRPLA,KANPUR PLASTIPACK,NSE,KANPRPLA.NS
KANSAINER,KANSAI NEROLAC PAINTS,NSE,KANSAINER.NS
KAPSTON-BE,KAPSTON FACILITIES MGMT L,NSE,KAPSTON-BE.NS
KARDA-BE,KARDA CONSTRUCTIONS,NSE,KARDA-BE.NS
KARMAENG-BE,KARMA ENERGY,NSE,KARMAENG-BE.NS
KARURVYSYA,KARUR VYSYA BANK,NSE,KARURVYSYA.NS
KAUSHALYA,KAUSHALYA INFRA DEV.,NSE,KAUSHALYA.NS
KAVVERITEL-BE,KAVVERI TEL..,NSE,KAVVERITEL-BE.NS
KAYA,KAYA,NSE,KAYA.NS
KCP,KCP,NSE,KCP.NS
KCPSUGIND,KCP SUGAR IND CORP.,NSE,KCPSUGIND.NS
KDDL,KDDL,NSE,KDDL.NS
KEC,KEC INTL.,NSE,KEC.NS
KECL,KIRLOSKAR ELECTRIC CO,NSE,KECL.NS
KEERTI,KEERTI KNOW & SKILL.,NSE,KEERTI.NS
KEI,KEI INDUSTRIES.,NSE,KEI.NS
KELLTONTEC,KELLTON TECH SOL,NSE,KELLTONTEC.NS
KENNAMET,KENNAMETAL INDIA,NSE,KENNAMET.NS
KERNEX-BE,KERNEX MICROSYS(I),NSE,KERNEX-BE.NS
KESORAMIND,KESORAM INDUSTRIES,NSE,KESORAMIND.NS
KEYFINSERV,KEYNOTE FIN SERV.,NSE,KEYFINSERV.NS
KHADIM,KHADIM INDIA,NSE,KHADIM.NS
KHAICHEM,KHAITAN CHEM & FERT,NSE,KHAICHEM.NS
KHAITANLTD,KHAITAN (INDIA)LTD.,NSE,KHAITANLTD.NS
KHANDSE,KHANDWALA SECURITIES,NSE,KHANDSE.NS
KICL,KALYANI INVEST CO,NSE,KICL.NS
KILITCH,KILITCH DRUGS INDIA,NSE,KILITCH.NS
KIMS,KRISHNA INST OF MED SCI L,NSE,KIMS.NS
KINGFA,KINGFA SCI & TEC IND.,NSE,KINGFA.NS
KIOCL,KIOCL,NSE,KIOCL.NS
KIRIINDUS,KIRI INDUSTRIES,NSE,KIRIINDUS.NS
KIRLFER,KIRLOSKAR FERROUS IND,NSE,KIRLFER.NS
KIRLOSBROS-BE,KIRLOSKAR BROTHERS,NSE,KIRLOSBROS-BE.NS
KIRLOSENG,KIRLOSKAR OIL ENG,NSE,KIRLOSENG.NS
KIRLOSIND,KIRLOSKAR INDUSTRIES,NSE,KIRLOSIND.NS
KITEX,KITEX GARMENTS,NSE,KITEX.NS
KKCL,KEWAL KIRAN CLOTHING,NSE,KKCL.NS
KMSUGAR,K M SUGAR MILLS,NSE,KMSUGAR.NS
KNRCON,KNR CONSTRU.,NSE,KNRCON.NS
KOKUYOCMLN,KOKUYO CAMLIN,NSE,KOKUYOCMLN.NS
KOLTEPATIL,KOLTE PATIL DEV..,NSE,KOLTEPATIL.NS
KOPRAN-BE,KOPRAN,NSE,KOPRAN-BE.NS
KOTAKBANK,KOTAK MAHINDRA BANK,NSE,KOTAKBANK.NS
KOTAKBKETF,KOTAKMAMC-KOTAKBKETF,NSE,KOTAKBKETF.NS
KOTAKGOLD,KOTAK GOLD ETF,NSE,KOTAKGOLD.NS
KOTAKIT,KOTAKMAMC - KOTAKIT,NSE,KOTAKIT.NS
KOTAKNV20,KOTAKMAMC - KTKNV20ETF,NSE,KOTAKNV20.NS
KOTAKPSUBK,KOTAK PSU BANK,NSE,KOTAKPSUBK.NS
KOTARISUG,KOTHARI SUG & CHEM.,NSE,KOTARISUG.NS
KOTHARIPET,KOTHARI PETROCHEM,NSE,KOTHARIPET.NS
KOTHARIPRO-BE,KOTHARI PRODUCTS,NSE,KOTHARIPRO-BE.NS
KOVAI,KOVAI MEDICAL CENTER & HO,NSE,KOVAI.NS
KPIGLOBAL,KPI GLOBAL INFRA,NSE,KPIGLOBAL.NS
KPITTECH,KPIT TECHNOLOGIES,NSE,KPITTECH.NS
KPRMILL,KPR MILL.,NSE,KPRMILL.NS
KRBL,KRBL,NSE,KRBL.NS
KREBSBIO,KREBS BIOCHEMICALS & IND,NSE,KREBSBIO.NS
KRIDHANINF,KRIDHAN INFRA,NSE,KRIDHANINF.NS
KRISHANA,KRISHANA PHOSCHEM,NSE,KRISHANA.NS
KRSNAA,KRSNAA DIAGNOSTICS,NSE,KRSNAA.NS
KSB,KSB,NSE,KSB.NS
KSCL,KAVERI SEED CO..,NSE,KSCL.NS
KSL,KALYANI STEELS,NSE,KSL.NS
KTKBANK,KARNATAKA BANK,NSE,KTKBANK.NS
KUANTUM,KUANTUM PAPERS,NSE,KUANTUM.NS
L&TFH,L&T FINANCE HOLDINGS,NSE,L&TFH.NS
LALPATHLAB,DR. LAL PATH LABS.,NSE,LALPATHLAB.NS
LAMBODHARA-BE,LAMBODHARA TEXTILES.,NSE,LAMBODHARA-BE.NS
LAOPALA,LA OPALA RG,NSE,LAOPALA.NS
LASA,LASA SUPERGENERICS,NSE,LASA.NS
LAURUSLABS,LAURUS LABS,NSE,LAURUSLABS.NS
LAXMIMACH,LAKSHMI MACHINES,NSE,LAXMIMACH.NS
LCCINFOTEC,LCC INFOTECH,NSE,LCCINFOTEC.NS
LEMONTREE,LEMON TREE HOTELS,NSE,LEMONTREE.NS
LFIC,LAKSHMI FIN IND CORP,NSE,LFIC.NS
LGBBROSLTD,LG BALAKRISHNAN & BROS,NSE,LGBBROSLTD.NS
LGBFORGE-BE,LGB FORGE,NSE,LGBFORGE-BE.NS
LIBAS,LIBAS CONSU PRODUCTS,NSE,LIBAS.NS
LIBERTSHOE,LIBERTY SHOES,NSE,LIBERTSHOE.NS
LICHSGFIN,LIC HOUSING FINANCE,NSE,LICHSGFIN.NS
LICNETFGSC,LICNAMC - LICNMFET,NSE,LICNETFGSC.NS
LICNETFN50,LICNAMC - LICNFENGP,NSE,LICNETFN50.NS
LICNETFSEN,LICNAMC - LICNFESGP,NSE,LICNETFSEN.NS
LICNFNHGP,LICNAMC - LICNFNHGP,NSE,LICNFNHGP.NS
LIKHITHA,LIKHITHA INFRASTRUC,NSE,LIKHITHA.NS
LINCOLN,LINCOLN PHARMA,NSE,LINCOLN.NS
LINCPEN,LINC PEN & PLASTICS,NSE,LINCPEN.NS
LINDEINDIA,LINDE INDIA,NSE,LINDEINDIA.NS
LIQUIDBEES,NIP IND ETF LIQUID BEES,NSE,LIQUIDBEES.NS
LIQUIDETF,DSP LIQUID ETF,NSE,LIQUIDETF.NS
LODHA,MACROTECH DEVELOPERS,NSE,LODHA.NS
LOKESHMACH,LOKESH MACHINES,NSE,LOKESHMACH.NS
LOTUSEYE-BE,LOTUS EYE HOSP & INST L,NSE,LOTUSEYE-BE.NS
LOVABLE,LOVABLE LINGERIE,NSE,LOVABLE.NS
LPDC-BE,LANDMARK PR.DEV.CO.LTD,NSE,LPDC-BE.NS
LSIL-BE,LLOYDS STEELS IND..,NSE,LSIL-BE.NS
LT,LARSEN & TOUBRO.,NSE,LT.NS
LTI,L&T INFOTECH,NSE,LTI.NS
LTTS,L&T TECHNOLOGY SER..,NSE,LTTS.NS
LUMAXIND,LUMAX INDUSTRIES,NSE,LUMAXIND.NS
LUMAXTECH,LUMAX AUTO TECH,NSE,LUMAXTECH.NS
LUPIN,LUPIN,NSE,LUPIN.NS
LUXIND,LUX INDUSTRIES,NSE,LUXIND.NS
LXCHEM,LAXMI ORGANIC INDUS,NSE,LXCHEM.NS
LYKALABS,LYKA LABS,NSE,LYKALABS.NS
LYPSAGEMS,LYPSA GEMS & JEWEL,NSE,LYPSAGEMS.NS
M&M,MAHINDRA & MAHINDRA,NSE,M&M.NS
M&MFIN,M&M FIN. SERVICES,NSE,M&MFIN.NS
MAANALU-BE,MAAN ALUMINIUM,NSE,MAANALU-BE.NS
MACPOWER,MACPOWER CNC MACHINES,NSE,MACPOWER.NS
MADHAV,MADHAV MARBLE & GRANITE,NSE,MADHAV.NS
MADHUCON,MADHUCON PROJECTS.,NSE,MADHUCON.NS
MADRASFERT,MADRAS FERTILISERS,NSE,MADRASFERT.NS
MAESGETF,MIRAEAMC - MAESGETF,NSE,MAESGETF.NS
MAFANG,MIRAEAMC - MAFANG,NSE,MAFANG.NS
MAFSETF,MIRAEAMC - MAFSETF,NSE,MAFSETF.NS
MAGADSUGAR,MAGADH SUGAR & ENERGY,NSE,MAGADSUGAR.NS
MAGNUM-BE,MAGNUM VENTURES.,NSE,MAGNUM-BE.NS
MAHABANK,BANK OF MAHARASHTRA,NSE,MAHABANK.NS
MAHAPEXLTD-BE,MAHA RASHTRA APEX COPR. L,NSE,MAHAPEXLTD-BE.NS
MAHASTEEL,MAHAMAYA STEEL INDS,NSE,MAHASTEEL.NS
MAHEPC,MAHINDRA EPC IRRIG,NSE,MAHEPC.NS
MAHESHWARI,MAHESHWARI LOGISTICS.,NSE,MAHESHWARI.NS
MAHINDCIE,MAHINDRA CIE AUTO,NSE,MAHINDCIE.NS
MAHLIFE,MAHINDRA LIFESPACE DEVLTD,NSE,MAHLIFE.NS
MAHLOG,MAHINDRA LOGISTIC,NSE,MAHLOG.NS
MAHSCOOTER,MAHARASHTRA SCOOTERS,NSE,MAHSCOOTER.NS
MAHSEAMLES,MAHARASHTRA SEAMLESS,NSE,MAHSEAMLES.NS
MAITHANALL,MAITHAN ALLOYS,NSE,MAITHANALL.NS
MAJESCO,MAJESCO,NSE,MAJESCO.NS
MALUPAPER,MALU PAPER MILLS,NSE,MALUPAPER.NS
MAN50ETF,MIRAEAMC - MAN50ETF,NSE,MAN50ETF.NS
MANAKALUCO,MANAK ALUMINIUM CO..,NSE,MANAKALUCO.NS
MANAKCOAT,MAN COAT METAL & IND,NSE,MANAKCOAT.NS
MANAKSIA,MANAKSIA.,NSE,MANAKSIA.NS
MANAKSTEEL,MANAKSIA STEELS,NSE,MANAKSTEEL.NS
MANALIPETC-BE,MANALI PETROCHEMICALS LT,NSE,MANALIPETC-BE.NS
MANAPPURAM,MANAPPURAM FINANCE,NSE,MANAPPURAM.NS
MANGALAM,MANGALAM DRUG & CHEM,NSE,MANGALAM.NS
MANGCHEFER,MANG.CHEM.FERT.LTD,NSE,MANGCHEFER.NS
MANGLMCEM,MANGALAM CEMENT,NSE,MANGLMCEM.NS
MANGTIMBER-BE,MANGALAM TIMBER PRODUCTS,NSE,MANGTIMBER-BE.NS
MANINDS,MAN INDUSTRIES (I).,NSE,MANINDS.NS
MANINFRA,MAN INFRA,NSE,MANINFRA.NS
MANUGRAPH,MANUGRAPH INDIA,NSE,MANUGRAPH.NS
MANXT50,MIRAEAMC - MANXT50,NSE,MANXT50.NS
MARALOVER,MARAL OVERSEAS,NSE,MARALOVER.NS
MARATHON,MARATHON NXTGEN REALT,NSE,MARATHON.NS
MARICO,MARICO,NSE,MARICO.NS
MARINE,MARINE ELECTRICAL (I),NSE,MARINE.NS
MARKSANS,MARKSANS PHARMA,NSE,MARKSANS.NS
MARUTI,MARUTI SUZUKI INDIA.,NSE,MARUTI.NS
MASFIN,MAS FINANCIAL SERV,NSE,MASFIN.NS
MASKINVEST-BE,MASK INVESTMENTS,NSE,MASKINVEST-BE.NS
MASTEK,MASTEK,NSE,MASTEK.NS
MATRIMONY,MATRIMONY.COM,NSE,MATRIMONY.NS
MAWANASUG-BE,MAWANA SUGARS,NSE,MAWANASUG-BE.NS
MAXHEALTH,MAX HEALTHCARE INS,NSE,MAXHEALTH.NS
MAXIND,MAX INDIA,NSE,MAXIND.NS
MAXVIL,MAX VENTURES AND INDS,NSE,MAXVIL.NS
MAYURUNIQ,MAYUR UNIQUOTERS,NSE,MAYURUNIQ.NS
MAZDA,MAZDA,NSE,MAZDA.NS
MAZDOCK,MAZAGON DOCK SHIPBUIL,NSE,MAZDOCK.NS
MBAPL,MADHYA BHARAT AGRO P.,NSE,MBAPL.NS
MBECL-BE,MCNALLY BH. ENG. CO.LTD,NSE,MBECL-BE.NS
MBLINFRA,MBL INFRASTRUCTURES,NSE,MBLINFRA.NS
MCDHOLDING,MCDOWELL HOLDINGS.,NSE,MCDHOLDING.NS
MCDOWELL-N,UNITED SPIRITS,NSE,MCDOWELL-N.NS
MCL,MADHAV COPPER,NSE,MCL.NS
MCLEODRUSS,MCLEOD RUSSEL INDIA.,NSE,MCLEODRUSS.NS
MCX,MULTI COMMODITY EXCHANGE,NSE,MCX.NS
MEGASOFT-BE,MEGASOFT,NSE,MEGASOFT-BE.NS
MENONBE,MENON BEARINGS,NSE,MENONBE.NS
MEP,MEP INFRA. DEVELOPERS,NSE,MEP.NS
MERCATOR-BE,MERCATOR,NSE,MERCATOR-BE.NS
METROPOLIS,METROPOLIS HEALTHCARE,NSE,METROPOLIS.NS
MFL-BE,MEGHMANI FINECHEM,NSE,MFL-BE.NS
MFSL,MAX FINANCIAL SERV,NSE,MFSL.NS
MGEL,MANGALAM GLOBAL ENT,NSE,MGEL.NS
MGL,MAHANAGAR GAS.,NSE,MGL.NS
MHRIL,MAHINDRA HOLIDAYS,NSE,MHRIL.NS
MIDHANI,MISHRA DHATU NIGAM,NSE,MIDHANI.NS
MINDACORP,MINDA CORPORATION,NSE,MINDACORP.NS
MINDAIND,MINDA INDUSTRIES.,NSE,MINDAIND.NS
MINDTECK,MINDTECK (INDIA),NSE,MINDTECK.NS
MINDTREE,MINDTREE,NSE,MINDTREE.NS
MIRCELECTR-BE,MIRCELECTR-DEPO,NSE,MIRCELECTR-BE.NS
MIRZAINT,MIRZA INTERNATIONAL LIMIT,NSE,MIRZAINT.NS
MITTAL,MITTAL LIFE STYLE,NSE,MITTAL.NS
MMFL,MM FORGINGS,NSE,MMFL.NS
MMP,MMP INDUSTRIES,NSE,MMP.NS
MMTC,MMTC,NSE,MMTC.NS
MODIRUBBER-BE,MODI RUBBER,NSE,MODIRUBBER-BE.NS
MODISNME,MODISON METALS,NSE,MODISNME.NS
MOGSEC,MOTILALAMC - G5,NSE,MOGSEC.NS
MOHITIND-BE,MOHIT INDUSTRIES,NSE,MOHITIND-BE.NS
MOHOTAIND-BE,MOHOTA INDUSTRIES,NSE,MOHOTAIND-BE.NS
MOIL,MOIL,NSE,MOIL.NS
MOKSH,MOKSH ORNAMENTS,NSE,MOKSH.NS
MOL-BE,MEGHMANI ORGANICS,NSE,MOL-BE.NS
MOLDTECH-BE,MOLD-TEK TECHNOLOGIES,NSE,MOLDTECH-BE.NS
MOLDTKPAC,MOLD-TEK PACKAGING,NSE,MOLDTKPAC.NS
MOM100,MOTILAL OS MIDCAP100 ETF,NSE,MOM100.NS
MOM50,MOTILAL OSWAL M50 ETF,NSE,MOM50.NS
MON100,MOTILAL OS NASDAQ100 ETF,NSE,MON100.NS
MONTECARLO,MONTE CARLO FASHIONS.,NSE,MONTECARLO.NS
MORARJEE,MORARJEE TEXTILES,NSE,MORARJEE.NS
MOREPENLAB,MOREPEN LAB.,NSE,MOREPENLAB.NS
MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT,NSE,MOTHERSUMI.NS
MOTILALOFS,MOTILAL OSWAL FIN,NSE,MOTILALOFS.NS
MOTOGENFIN,MOTOR & GENERAL FINANCE L,NSE,MOTOGENFIN.NS
MPHASIS,MPHASIS,NSE,MPHASIS.NS
MPSLTD,MPS,NSE,MPSLTD.NS
MRF,MRF,NSE,MRF.NS
MRO-TEK-BE,MRO-TEK REALTY,NSE,MRO-TEK-BE.NS
MRPL,MRPL,NSE,MRPL.NS
MSPL,MSP STEEL & POWER.,NSE,MSPL.NS
MSTCLTD,MSTC,NSE,MSTCLTD.NS
MTARTECH,MTAR TECHNOLOGIES,NSE,MTARTECH.NS
MTEDUCARE,MT EDUCARE,NSE,MTEDUCARE.NS
MTNL,MAHANAGAR TELEPHONE NIGAM,NSE,MTNL.NS
MUKANDENGG-BE,MUKAND ENGINEERS,NSE,MUKANDENGG-BE.NS
MUKANDLTD-BE,MUKAND.,NSE,MUKANDLTD-BE.NS
MUKTAARTS,MUKTA ARTS,NSE,MUKTAARTS.NS
MUNJALAU,MUNJAL AUTO IND..,NSE,MUNJALAU.NS
MUNJALSHOW,MUNJAL SHOWA,NSE,MUNJALSHOW.NS
MURUDCERA,MURUDESHWAR CERAMICS,NSE,MURUDCERA.NS
MUTHOOTCAP,MUTHOOT CAP SERV,NSE,MUTHOOTCAP.NS
MUTHOOTFIN,MUTHOOT FINANCE,NSE,MUTHOOTFIN.NS
NACLIND,NACL INDUSTRIES,NSE,NACLIND.NS
NAGAFERT-BE,NAGARJUN FERT AND CHE,NSE,NAGAFERT-BE.NS
NAGREEKCAP,NAGREEKA CAP & INFR.LTD,NSE,NAGREEKCAP.NS
NAGREEKEXP-BE,NAGREEKA EXPORTS.,NSE,NAGREEKEXP-BE.NS
NAHARCAP,NAHAR CAP & FIN.,NSE,NAHARCAP.NS
NAHARINDUS-BE,NAHAR INDS ENT,NSE,NAHARINDUS-BE.NS
NAHARPOLY,NAHAR POLY FILMS,NSE,NAHARPOLY.NS
NAHARSPING-BE,NAHAR SPINNING MILLS.,NSE,NAHARSPING-BE.NS
NAM-INDIA,NIPPON L I A M,NSE,NAM-INDIA.NS
NATCOPHARM,NATCO PHARMA.,NSE,NATCOPHARM.NS
NATHBIOGEN,NATH BIO-GENES (I),NSE,NATHBIOGEN.NS
NATIONALUM,NATIONAL ALUMINIUM CO,NSE,NATIONALUM.NS
NATNLSTEEL,NATIONAL STEEL & AGRO IND,NSE,NATNLSTEEL.NS
NAUKRI,INFO EDGE (I),NSE,NAUKRI.NS
NAVINFLUOR,NAVIN FLUORINE INT.,NSE,NAVINFLUOR.NS
NAVKARCORP,NAVKAR CORPORATION.,NSE,NAVKARCORP.NS
NAVNETEDUL,NAVNEET EDUCATION,NSE,NAVNETEDUL.NS
NAZARA,NAZARA TECHNOLOGIES,NSE,NAZARA.NS
NBCC,NBCC (INDIA),NSE,NBCC.NS
NBIFIN,N.B.I. IND. FIN. CO.,NSE,NBIFIN.NS
NBVENTURES,NAVA BHARAT VENTURES LIMI,NSE,NBVENTURES.NS
NCC,NCC,NSE,NCC.NS
NCLIND,NCL INDUSTRIES,NSE,NCLIND.NS
NCPSESDL24,NIPPON INDIA- NIMFXX,NSE,NCPSESDL24.NS
NDGL-BE,NAGA DHUNSERI GROUP,NSE,NDGL-BE.NS
NDL,NANDAN DENIM,NSE,NDL.NS
NDRAUTO-BE,NDR AUTO COMPONENTS,NSE,NDRAUTO-BE.NS
NDTV,NDTV,NSE,NDTV.NS
NECCLTD,NORTH EAST CARRY CORP,NSE,NECCLTD.NS
NECLIFE,NECTAR LIFESCIENCES.,NSE,NECLIFE.NS
NELCAST,NELCAST,NSE,NELCAST.NS
NELCO,NELCO,NSE,NELCO.NS
NEOGEN,NEOGEN CHEMICALS,NSE,NEOGEN.NS
NESCO,NESCO.,NSE,NESCO.NS
NESTLEIND,NESTLE INDIA,NSE,NESTLEIND.NS
NETF,TATAAML - NETF,NSE,NETF.NS
NETFCONSUM,NIP IND ETF CONSUMPTION,NSE,NETFCONSUM.NS
NETFDIVOPP,NIP IND ETF DIV OPP,NSE,NETFDIVOPP.NS
NETFGILT5Y,RELCAPAMC - NETFGILT5Y,NSE,NETFGILT5Y.NS
NETFIT,NIP IND ETF IT,NSE,NETFIT.NS
NETFLTGILT,NIP IND ETF LONGTERM GILT,NSE,NETFLTGILT.NS
NETFMID150,NIP IND ETF MIDCAP 150,NSE,NETFMID150.NS
NETFNV20,NIP IND ETF ETF NV20,NSE,NETFNV20.NS
NETFPHARMA,NIPPONAMC - NETFPHARMA,NSE,NETFPHARMA.NS
NETFSDL26,RELCAPAMC-NETFSDL26,NSE,NETFSDL26.NS
NETWORK18,NETWORK18 MEDIA & INV,NSE,NETWORK18.NS
NEULANDLAB-BE,NEULAND LAB.,NSE,NEULANDLAB-BE.NS
NEWGEN-BE,NEWGEN SOFTWARE TECH,NSE,NEWGEN-BE.NS
NEXTMEDIA,NEXT MEDIAWORKS,NSE,NEXTMEDIA.NS
NFL,NATIONAL FERT.,NSE,NFL.NS
NGIL,NAKODA GROUP OF IND.,NSE,NGIL.NS
NH,NARAYANA HRUDAYALAYA.,NSE,NH.NS
NHPC,NHPC,NSE,NHPC.NS
NIACL,THE NEW INDIA ASSU CO,NSE,NIACL.NS
NIBL,NRB INDUS. BEARINGS.,NSE,NIBL.NS
NIITLTD,NIIT,NSE,NIITLTD.NS
NILAINFRA,NILA INFRASTRUCTURES,NSE,NILAINFRA.NS
NILASPACES-BE,NILA SPACES,NSE,NILASPACES-BE.NS
NILKAMAL,NILKAMAL,NSE,NILKAMAL.NS
NIPPOBATRY,INDO-NATIONAL,NSE,NIPPOBATRY.NS
NIRAJ,NIRAJ CEMENT STRUC,NSE,NIRAJ.NS
NITCO,NITCO,NSE,NITCO.NS
NITINSPIN-BE,NITIN SPINNERS,NSE,NITINSPIN-BE.NS
NITIRAJ,NITIRAJ ENGINEERS,NSE,NITIRAJ.NS
NKIND-BE,NKINDUSTRIES,NSE,NKIND-BE.NS
NLCINDIA,NLC INDIA,NSE,NLCINDIA.NS
NMDC,NMDC.,NSE,NMDC.NS
NOCIL,NOCIL,NSE,NOCIL.NS
NOIDATOLL,NOIDA TOLL BRIDGE CO,NSE,NOIDATOLL.NS
NORBTEAEXP,NORBEN TEA & EXPORTS,NSE,NORBTEAEXP.NS
NOVARTIND,NOVARTIS INDIA,NSE,NOVARTIND.NS
NPBET,TATAAML - NPBET,NSE,NPBET.NS
NRAIL,N R AGARWAL INDS,NSE,NRAIL.NS
NRBBEARING,NRB BEARING,NSE,NRBBEARING.NS
NSIL,NALWA SONS INVESTMENT,NSE,NSIL.NS
NTL-BE,NEUEON TOWERS,NSE,NTL-BE.NS
NTPC,NTPC,NSE,NTPC.NS
NUCLEUS,NUCLEUS SOFTWARE EXPORTS,NSE,NUCLEUS.NS
NURECA,NURECA,NSE,NURECA.NS
NUVOCO,NUVOCO VISTAS CORP,NSE,NUVOCO.NS
NXTDIGITAL,NXTDIGITAL,NSE,NXTDIGITAL.NS
OAL,ORIENTAL AROMATICS,NSE,OAL.NS
OBEROIRLTY,OBEROI REALTY,NSE,OBEROIRLTY.NS
OCCL,ORIENTAL CARBN & CHEM,NSE,OCCL.NS
OFSS,ORACLE FIN SERV SOFT.,NSE,OFSS.NS
OIL,OIL INDIA,NSE,OIL.NS
OILCOUNTUB-BE,OIL COUNTRY TUBULAR.,NSE,OILCOUNTUB-BE.NS
OLECTRA-BE,OLECTRA GREENTECH,NSE,OLECTRA-BE.NS
OMAXAUTO-BE,OMAX AUTOS,NSE,OMAXAUTO-BE.NS
OMAXE,OMAXE,NSE,OMAXE.NS
OMINFRAL,OM INFRA,NSE,OMINFRAL.NS
OMKARCHEM,OMKAR SPL CHEM,NSE,OMKARCHEM.NS
ONELIFECAP-BE,ONELIFE CAP ADVISORS,NSE,ONELIFECAP-BE.NS
ONEPOINT-BE,ONE POINT ONE SOL,NSE,ONEPOINT-BE.NS
ONGC,OIL AND NATURAL GAS CORP.,NSE,ONGC.NS
ONMOBILE,ONMOBILE GLOBAL.,NSE,ONMOBILE.NS
ONWARDTEC,ONWARD TECHNOLOGIES,NSE,ONWARDTEC.NS
OPTIEMUS-BE,OPTIEMUS INFRACOM,NSE,OPTIEMUS-BE.NS
OPTOCIRCUI-BE,OPTO CIRCUITS (I),NSE,OPTOCIRCUI-BE.NS
ORBTEXP,ORBIT EXPORTS,NSE,ORBTEXP.NS
